QUALIDADE CONFIABILIDADE SUST.CIENT.(CST)
AVALIAÇÃO GERAL CONTEÚDO DIDÁTICO-METODOLÓGICOS TÉCNICOS CST
Titulo,Visualizações,Gosteis,Não Gosteis,Comentarios,Duração,Data De Publicação,Link,Nome Canal,Inscritos,1.Clareza nos Objetivos,2.Objet.Alcanc.,3.É relevante?,4.Fonte de Inform.,5.Clareza Inform.,6.Viés e Equilíbrio,7.Fontes Adic.de Inform.,8.Refer.Áreas Incert.,9.Comp.Quím.Á.Nucl.Nucleotd.,10.Papel do DNA/RNA,11.Diferenças DNA/RNA,12.Forças.Intermolec.Conform.DNA,13.Influência PH.Temp.Enovelamento e Mudança Conform.Estrutural DNA,14.Contextualização com Cotidiano e Transdiscip.,15.Clareza e Coesão,16.Aproxim.com Aceito na Comun.Científica,17.Recursos eficazes e Duração do Vídeo,18.Edição dos Vídeos,19.Dados Autorais e Produção,20.Interligação Aspectos Técnicos/Didat.Metodol. e de Conteúdo,21.Zooms/Enquad/Visão de Fundo,22.Editado Profissionalmente,23.Qualidade do vídeo como Fonte de Inform.,24.Infor.Claras e Objetivas,25.Fontes Confiáveis de Inform.,26.Inform.Equilibrada e Imparcial,27.Confiabilidade do vídeo como Fonte de Inform.,
Estrutura e função dos ácidos nucleicos,1263,53,0,1,PT12M58S,2020-03-17T01:31:43Z,https://youtu.be/qT01YfD_JKw,IDEA EAD,622,4,4,4,4,5,4,3,2,4,4,4,3,2,5,5,4,4,4,3,4,4,4,4,4,4,4,4,
Revisão ENEM - Biologia: Ácidos Nucleicos,571,41,0,0,PT3M26S,2019-11-11T18:37:27Z,https://youtu.be/4vkDNYGQchk,Pró Universidade Online,101000,4,4,4,4,4,3,4,2,5,5,5,4,1,4,4,3,4,4,3,4,4,,4,4,4,4,4,
Qué son los ácidos nucleicos,468717,7513,273,251,PT8M11S,2014-11-21T09:02:15Z,https://youtu.be/kIjXCLk7SmQ,unProfesor,1440000,4,4,4,4,4,5,3,2,5,5,5,4,2,4,4,4,4,4,4,4,4,4,3,3,3,4,4,
BIOLOGIA | Proteínas e Ácidos Nucleicos,6087,260,6,6,PT9M30S,2016-04-22T19:07:23Z,https://youtu.be/rPHxCreVP5M,interactivojp,11900,5,5,5,3,4,4,3,2,5,5,5,4,2,4,4,4,4,4,4,4,4,,4,4,3,4,4,
Ácidos nucléicos: ADN y ARN. Tipos y función. Bio[ESO]sfera - Biología,168814,2652,120,85,PT19M53S,2017-01-22T17:55:15Z,https://youtu.be/VmMJtSC35Vw,Bio[ESO]sfera,34200,4,4,4,3,4,4,4,1,4,4,4,4,2,4,4,4,5,5,3,4,4,4,4,4,4,4,4,
Proteins and Nucleic Acids,20813,224,7,19,PT6M40S,2016-02-07T18:37:20Z,https://youtu.be/COyTQmNIeAM,BOGObiology,38500,4,4,4,4,4,3,3,2,5,5,5,4,2,4,4,4,4,4,5,4,4,4,4,4,4,4,4,
Nucleic Acid full detail along with 14 questions DNA/RNA in english part 1 by Dr Hadi Khan,38302,1300,19,179,PT1H11M32S,2019-10-10T04:05:24Z,https://youtu.be/heLzFKSYaTk,Medical globe By Dr. Hadi,47800,4,4,4,3,4,4,4,1,4,4,4,3,3,4,4,4,5,5,5,4,4,4,4,4,4,4,4,
Estrutura dos ácidos nucleicos,225,16,0,2,PT22M54S,2020-09-03T04:45:58Z,https://youtu.be/7lu7cwxUEB0,Prof. Wenderson Lima,599,5,5,5,4,4,4,3,2,5,5,5,3,2,5,5,5,5,,3,4,4,4,4,4,4,4,4,
Ácidos nucleicos estructura,13365,211,6,12,PT6M37S,2016-07-13T12:47:17Z,https://youtu.be/GHuisIFupRw,Alfredo Rigalli,16100,5,5,5,5,5,4,4,2,5,5,5,4,3,5,5,5,5,4,4,5,4,4,4,4,4,4,4,
Ácidos Nucleicos parte 1,269,24,0,0,PT14M42S,2020-04-06T01:59:17Z,https://youtu.be/Vc0npb6ghh4,Ricardinho Bio,974,5,5,5,5,5,5,5,2,5,5,5,4,3,5,5,5,5,5,5,5,4,5,5,5,5,5,5,
Ácidos nucleicos (presentación power point),1018,17,0,2,PT3M25S,2017-11-03T15:36:27Z,https://youtu.be/NG-Eox5Duac,JFM Studios,8,1,3,3,1,1,1,1,1,3,3,3,1,1,1,1,1,2,2,1,1,1,2,2,1,2,2,2,
Biomolecules 02 | Lipids & Nucleic Acids | 11 | NEET | PACE Series,468239,12572,365,1469,PT1H23M57S,2021-02-03T13:30:06Z,https://youtu.be/svNRVZmImh4,Physics Wallah - Alakh Pandey,8820000,5,5,5,4,5,5,3,1,4,4,4,3,2,4,4,3,4,4,3,4,4,4,4,4,4,4,4,
Ácidos nucléicos,55,10,0,0,PT19M1S,2020-05-14T14:35:39Z,https://youtu.be/GYd45L2Ivv8,Professor maikao,104,4,4,4,3,3,4,1,1,4,4,4,1,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,
Ácidos nucleicos,87,3,0,0,PT30M2S,2020-07-01T22:39:32Z,https://youtu.be/043JqF5zO_Q,Keila Ferreira de Oliveira,92,4,4,4,4,4,4,3,2,5,5,5,4,2,5,5,4,4,4,4,4,4,4,4,4,4,4,4,
Lecture 1.5: The Molecules of Life — Nucleic Acid Polarity,3943,51,0,1,PT8M6S,2020-08-21T14:16:28Z,https://youtu.be/-to-7OIJyQ0,MIT OpenCourseWare,4160000,5,5,5,5,5,5,4,2,5,5,5,4,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,
Ácidos Nucleicos - DNA,17,0,0,0,PT14M48S,2020-08-27T03:28:51Z,https://youtu.be/zztg2_6_a3g,Prof Jaime Jr,156,4,4,4,4,4,4,4,1,4,4,4,2,1,3,4,3,4,4,4,3,4,4,4,3,4,4,4,
ÁCIDOS NUCLEICOS -  ANDARA GUALBERTO - PROFESSORA DE CIÊNCIAS MÚLTIPLOS.,90,7,0,1,PT11M49S,2020-03-31T12:00:09Z,https://youtu.be/N4EM6FlqnTQ,TV MÚLTIPLOS,935,4,4,4,3,5,5,4,2,5,5,5,4,2,4,4,4,3,3,2,4,3,3,3,4,4,4,4,
Genoma e Ácidos Nucleicos - Biologia Molecular - Me Salva! Saúde,2042,120,1,6,PT11M43S,2020-11-02T13:00:08Z,https://youtu.be/dItss5z4l1g,Me Salva! Ciências da Saúde,8440,5,5,5,5,5,4,4,2,4,4,4,3,3,4,4,4,4,3,4,4,4,3,3,3,4,4,4,
Ácidos Nucleicos,102,10,0,1,PT15M8S,2020-05-13T16:10:31Z,https://youtu.be/Hi2rUdf_KmM,BIO É VIDA,621,4,4,4,4,4,3,2,1,4,4,4,2,1,3,4,4,4,5,3,4,4,4,3,4,4,4,4,
Música - Ácidos Nucleicos - Legendada,20276,533,18,19,PT3M58S,2014-02-15T22:27:37Z,https://youtu.be/i7fVGTQQjRQ,JPPO,303,4,3,3,3,3,4,3,1,4,4,4,3,1,4,4,3,4,4,2,3,2,3,4,4,4,4,4,
Ácidos Nucleicos,39,8,0,0,PT14M53S,2020-04-18T15:44:28Z,https://youtu.be/NYXbYfDOUxA,Biologia em Gotas,404,4,4,3,3,2,4,3,1,4,4,3,2,1,4,4,3,4,3,4,4,4,3,4,3,3,4,4,
Ácidos nucléicos,38,6,0,0,PT7M58S,2020-09-27T21:49:04Z,https://youtu.be/mEwWVJJ4pLc,Professor Hudy,391,4,4,4,4,3,4,4,1,4,4,4,2,1,4,3,4,4,3,4,4,4,4,4,4,4,4,4,
Estrutura dos ácidos nucleicos e processos envolvidos,370,24,0,3,PT20M12S,2021-03-07T14:58:34Z,https://youtu.be/g5M6n22NG80,ALEXANDRE LOURENÇO,2100,4,4,4,4,4,4,3,1,5,5,5,5,3,5,5,5,5,5,5,5,5,4,5,5,5,5,5,
ÁCIDOS NUCLEICOS - QUÍMICA | ENEM POWER,86,10,0,1,PT16M28S,2020-06-09T16:00:13Z,https://youtu.be/Suhu28H322g,Dáskalos,14100,4,4,4,3,4,4,4,1,4,4,4,3,2,5,5,5,5,5,3,5,5,5,5,4,4,4,4,
DESOXI O QUE? - ÁCIDOS NUCLEICOS,205,24,0,1,PT5M5S,2020-04-14T13:03:25Z,https://youtu.be/bHKBoH7wE1Q,Hey/ Se Liga,764,5,5,5,4,5,5,5,2,5,5,5,4,2,5,5,5,5,5,4,4,4,4,4,3,3,4,4,
Genética Básica: Estrutura do Ácido Nucleico - Introdução,460,33,0,1,PT14M59S,2020-07-13T22:00:02Z,https://youtu.be/DO4ySpf1luE,Jaleko Acadêmicos,59300,5,5,5,5,5,5,5,2,5,5,5,4,3,5,5,5,5,5,4,5,5,5,5,5,5,5,5,
Ácidos Nucleicos,70,5,0,0,PT6M19S,2020-10-15T19:57:20Z,https://youtu.be/db_w-81AUUY,Primandade Luiz,3510,5,5,5,5,5,4,5,2,5,5,5,5,3,5,5,5,4,4,4,5,5,5,4,4,5,5,5,
DNA e RNA - Projeto de extensão - UFSC/CBS,59,4,0,0,PT6M11S,2021-01-06T16:17:24Z,https://youtu.be/DPK-EJj-V1w,Biologia Celular - UFSC - Campus Curitibanos,39,5,5,5,4,5,5,4,2,5,5,5,4,2,4,5,4,4,3,4,4,4,4,4,5,5,5,5,
Acidos nucleicos ARN ADN1,33836,519,22,78,PT11M55S,2014-10-17T03:38:14Z,https://youtu.be/jp1TiFKuFxQ,Ricardo Magallan,5550,5,5,5,4,3,4,2,2,4,4,4,2,2,4,4,4,4,3,4,4,4,4,4,4,4,4,4,
RNA e Suas Funções Português,52695,2082,67,59,PT3M10S,2015-11-12T15:25:53Z,https://youtu.be/ha-d7Vwf-Ck,Felipe Castyl,183,4,4,4,2,3,3,2,1,4,4,3,3,2,4,3,3,4,4,4,4,4,4,3,3,3,4,4,
Animação sobre a Replicação do DNA,305572,6742,291,223,PT4M26S,2017-01-03T22:34:13Z,https://youtu.be/T3RK7w0nfOc,AnimaVET Animações da Veterinária,1220,4,4,4,3,4,5,4,2,5,5,5,2,2,4,4,4,4,4,4,4,4,4,3,4,4,4,4,
Replicação do DNA,15541,1400,8,105,PT22M17S,2019-08-25T09:45:02Z,https://youtu.be/8ApR8Cbv8-c,Fernanda Soares,6320,5,5,5,4,5,5,5,2,5,5,5,3,2,5,4,4,4,4,2,4,4,4,4,5,4,4,4,
Ácido nucleico/ nucleotidos y bases nitrogenadas / Biología: Ácidos nucleicos,75173,1834,20,67,PT10M21S,2018-04-25T13:00:10Z,https://youtu.be/u58Ra6005s4,Ruben Sebastian,376000,4,4,4,3,4,4,3,2,5,5,5,3,3,5,5,4,4,4,2,3,3,3,4,4,4,4,4,
23.01 Nucleosides/ Nucleotides & Nucleic Acids,46009,104,8,11,PT7M18S,2010-12-13T21:51:07Z,https://youtu.be/hW9EmUN-wsc,Michael Evans,20000,5,5,5,4,5,5,2,4,5,5,5,4,3,5,5,5,5,5,5,4,4,4,4,4,4,4,5,
Structure of Nucleic acids,19899,181,14,20,PT26M41S,2015-03-19T15:40:56Z,https://youtu.be/HAia08k2TlQ,Dr Bhavsar Biology,15600,4,4,5,4,5,3,2,2,5,5,5,3,3,4,4,3,4,4,3,5,5,5,5,4,4,4,4,
22.03 Phosphorus in Nucleic Acids,806,10,2,0,PT2M26S,2019-11-12T14:58:32Z,https://youtu.be/KzG0_axghQY,Michael Evans,20000,4,4,4,4,5,5,3,3,4,4,4,3,3,4,4,4,4,4,4,5,5,5,5,5,4,4,4,
FSc Biology Book 1/ Ch 2 - Nucleic Acid - Inter part 1 Biology,56516,1204,31,116,PT23M25S,2019-04-02T12:05:54Z,https://youtu.be/qVtH5LgsJ6c,ilmkidunya,2150000,4,4,4,2,4,5,3,2,5,5,5,3,2,4,4,4,4,4,4,5,5,5,5,4,4,4,4,
Nucleic Acids Biomolecules Class 11 | CBSE Biology  | Science | NEET AIIMS & JIPMER | VBiotonic,99659,2630,221,72,PT33M8S,2019-10-25T05:15:34Z,https://youtu.be/b_pgSxJ-JkQ,Vedantu BioTonic For NEET,818000,4,4,4,4,5,5,4,3,5,5,5,4,2,4,4,4,4,4,4,5,5,4,4,4,4,4,4,
Nucleic Acid full detail along with 14 questions DNA/RNA in english part 1 by Dr Hadi Khan,38302,1300,19,179,PT1H11M32S,2019-10-10T04:05:24Z,https://youtu.be/heLzFKSYaTk,Medical globe By Dr. Hadi,47800,5,5,5,5,4,4,3,1,4,4,4,3,2,5,5,5,5,5,5,5,5,4,4,4,4,4,4,
Dr. Chad Mirkin: Next Generation Vaccines with Spherical Nucleic Acids (SNAs),1113,16,0,4,PT4M44S,2020-07-07T01:18:36Z,https://youtu.be/G9Bbd7olz0Q,Pittcon Videos,355,5,5,5,4,5,4,1,1,4,4,4,5,2,4,4,4,5,5,4,5,5,5,5,5,5,5,5,
Ácidos Nucleicos,525,40,0,2,PT21M7S,2020-09-01T18:00:11Z,https://youtu.be/IBnSJlf3vSo,Rennólogia,6100,4,4,4,4,3,4,4,2,4,4,4,3,4,3,4,4,4,4,2,4,,4,4,4,4,4,4,
DNA x RNA - Ácidos Nucleicos,2169,71,3,11,PT15M54S,2017-05-03T23:45:43Z,https://youtu.be/5ymTheKEsRs,Bruno Ramello,11400,4,4,4,4,4,3,3,1,4,4,4,3,2,5,5,4,4,4,3,4,3,4,4,4,,4,4,
Metabolismo dos ácidos nucleicos,446,8,0,0,PT49M21S,2020-05-13T02:11:01Z,https://youtu.be/KA0JpiS3-PU,DOUGLAS CARDOSO BRANDAO,22,4,4,4,3,3,3,3,2,4,4,4,2,2,3,2,3,2,2,1,3,1,1,2,2,3,3,3,
Ácidos Nucleicos - DNA e RNA em Mais Biologia,1965,226,2,21,PT14M12S,2018-05-21T14:29:25Z,https://youtu.be/apGsRMlKe5o,Mais Biologia,29800,4,4,4,4,4,4,5,2,5,5,5,3,3,5,5,5,5,5,2,5,5,5,5,5,5,5,5,
Bioquímica. Generalidades de los ácidos nucleicos ADN Y ARN,5559,129,7,3,PT10M45S,2020-10-27T21:11:47Z,https://youtu.be/1ljFJaH9gt8,Bioquimica,195000,5,5,5,4,5,5,5,2,5,5,4,3,2,5,5,4,4,4,4,5,5,4,4,4,4,4,4,
Tutorial DS - Ácidos Nucleicos - Parte I (Aula 05),1206,21,0,2,PT13M58S,2015-05-20T14:30:00Z,https://youtu.be/uoCXirF4dDk,Prof. Sam Adam,36600,4,4,4,4,4,3,3,2,5,5,5,3,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,
ÁCIDOS NUCLEICOS - CLASE COMPLETA - ADN - ARN - NUCLEOTIDOS - NUCLEOSIDOS,20247,739,3,56,PT1H59S,2021-01-10T23:15:30Z,https://youtu.be/sLEFdKXfVpw,INFLUENCER BIOLÓGICO ✔,40100,5,5,5,4,4,4,3,2,5,5,5,3,4,4,4,4,4,3,1,3,2,2,4,4,4,4,4,
Ácidos nucleicos e Trangênicos (Bioaulão #5) - Maratona ENEM 2017,2867,206,2,9,PT20M16S,2017-10-31T08:01:01Z,https://youtu.be/EeSuz3U3d0E,Prof. Guilherme Goulart - Biologia,338000,4,5,5,4,5,5,4,2,5,5,5,4,2,5,5,5,4,5,4,5,5,5,4,4,4,4,4,
Ácidos Nucleicos - Estrutura e Função - Genética Aula 02,1644,70,0,3,PT10M29S,2020-06-23T01:29:25Z,https://youtu.be/86uC0m3gKJ0,Prof. Anderson Garcia,621,4,4,4,4,3,4,4,2,5,5,5,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,
Aula 19   Nucleotídeos e ácidos nucleicos 2   Prof  CA,805,62,0,22,PT28M45S,2020-09-15T16:34:31Z,https://youtu.be/Ai8sOQHUfiE,Bioquímica Fundamental,262,4,4,4,4,4,4,3,2,4,4,4,4,3,5,4,4,3,4,4,4,4,4,4,4,4,4,4,
BIOLOGIA | Ácidos Nucleicos,128,10,0,1,PT10M56S,2016-06-07T16:55:22Z,https://youtu.be/85uWpsTifFg,interactivojp,11900,4,4,4,4,4,4,3,1,4,4,4,5,5,5,4,4,5,5,4,5,5,5,5,5,4,5,5,
DNA e RNA - ácidos nucleicos,449,82,0,21,PT22M40S,2020-09-29T22:55:45Z,https://youtu.be/nRkuz0DoSvI,Biologia no Núcleo - Kátia Kern,4260,4,4,4,4,3,4,3,2,4,4,4,4,4,3,3,3,4,4,3,3,4,4,4,4,4,4,4,
Ácidos Nucleicos,242,47,0,3,PT9M19S,2018-10-18T12:35:26Z,https://youtu.be/kaHgotP5LME,BioRed ensino,1370,4,4,4,3,3,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,
Ácidos Nucleicos - Historia,33519,395,19,25,PT27M2S,2015-03-05T20:02:03Z,https://youtu.be/G0IIiEfR9lU,AcademiaVasquez,227000,5,5,5,4,4,4,4,3,4,4,4,5,4,3,4,4,4,4,4,5,5,5,5,5,4,4,5,
11- Biología celular. Ácidos nucleicos,35020,640,13,0,PT9M46S,2019-09-06T20:19:50Z,https://youtu.be/Aet30t9wb2c,UBAXXI,171000,4,4,4,4,5,5,4,3,4,4,4,4,4,4,5,4,5,5,4,4,4,4,4,4,4,4,4,
Ácidos Nucleicos Clase 1,173,3,0,0,PT11M53S,2021-04-11T20:10:40Z,https://youtu.be/Uwz_77uAerE,yury jimenez,24,5,5,5,5,5,5,5,3,5,5,4,4,3,5,5,5,5,5,4,5,4,4,4,4,4,4,5,
Ácidos nucléicos: ADN y ARN. Tipos y función. Bio[ESO]sfera - Biología,168814,2652,120,85,PT19M53S,2017-01-22T17:55:15Z,https://youtu.be/VmMJtSC35Vw,Bio[ESO]sfera,34200,4,4,4,3,4,4,3,2,4,4,4,4,3,4,4,4,5,5,4,4,4,4,4,4,4,4,4,
Ácidos Nucleicos,97,20,0,0,PT21M42S,2020-04-16T04:39:25Z,https://youtu.be/A18NW-dUQmw,Aquino Bio,723,4,4,4,3,4,5,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,5,4,3,4,
DNA | Ácidos Nucleicos | RESUMO | 5 Fatos,1586,58,0,9,PT5M10S,2020-06-28T20:00:02Z,https://youtu.be/EtkGfaLAQOY,DESCOMPLICANDO by HRF,10500,4,4,4,3,4,4,4,3,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,
10-Biología.Ácidos nucleicos: ADN y ARN,37582,626,10,0,PT8M29S,2019-09-05T12:53:34Z,https://youtu.be/7BA31FpmldQ,UBAXXI,171000,4,4,4,3,5,3,1,1,4,4,5,4,3,4,4,4,4,5,4,4,5,4,4,4,4,4,4,
ÁCIDOS NUCLEICOS. Introducción Tipos Funciones,120673,1774,54,43,PT14M39S,2015-11-16T18:11:07Z,https://youtu.be/nDq8hD-b9iI,efi-ciencia red,90500,4,4,4,3,4,4,2,2,4,4,4,3,1,3,4,3,3,3,3,4,4,3,4,4,4,4,4,
BIOATOMO - "ÁCIDOS  NUCLEICOS",364,21,2,0,PT15M47S,2021-04-12T01:00:14Z,https://youtu.be/dKPlDLJcSgU,BIOATOMO Daniel Maldonado Yupanqui,1140,4,4,4,4,4,3,4,3,4,4,4,3,2,4,4,4,4,4,3,4,4,4,4,4,3,4,4,
Composición y estructura de los ácidos nucleicos,10038,187,8,3,PT16M26S,2017-09-12T19:25:33Z,https://youtu.be/oHd-K8LQ9k8,N García,6100,4,4,4,4,4,5,3,3,5,5,5,5,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,
Ácidos Nucléicos,88,5,0,0,PT17M42S,2020-04-06T03:20:09Z,https://youtu.be/CHE4xjhcmdo,Professor Hudy,391,4,4,4,4,4,5,1,1,4,4,4,5,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,
Ácidos nucleicos,60,6,0,7,PT6M56S,2021-04-02T19:00:15Z,https://youtu.be/zv2ZUZIAq7g,Biologia com Lorena Araújo,141,4,4,4,3,4,4,4,2,5,5,5,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Nucleic Acids- Trick to Learn structures of Purines and Pyrimidines,41306,1157,43,120,PT21M6S,2018-02-11T03:30:00Z,https://youtu.be/8bzeowIsQq4,VinAm Guidance,23400,4,4,4,4,4,3,4,3,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,
Ácidos Nucléicos - Dos Nucleotídeos à Dupla Hélice,16440,163,0,1,PT25M28S,2021-04-29T10:56:26Z,https://youtu.be/tQ8P-Y03oEE,PROFESSOR LÁSARO HENRIQUE,3390,4,4,4,3,5,5,5,3,5,5,5,5,5,4,5,4,5,4,4,4,4,4,4,4,4,4,4,
BIOQUÍMICA  - ÁCIDOS NUCLEICOS | DNA e RNA,2929,362,5,23,PT25M29S,2018-10-26T00:14:52Z,https://youtu.be/9DS8N38-64M,Henac Almeida,15600,4,4,4,3,3,4,4,3,4,4,3,3,4,3,4,3,4,4,3,3,4,4,4,4,4,4,4,
Estrutura dos Ácidos Nucleicos: DNA e RNA - Bioquímica (Bio Aulas),12272,762,13,40,PT13M39S,2020-10-01T19:05:17Z,https://youtu.be/aKXoUrtatVI,Bio Aulas - Prof. Matheus Moura,69300,4,4,3,3,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,
Ácido Nucleicos (parte I): nucleótido y ADN.,27,2,0,0,PT17M23S,2021-06-10T21:52:20Z,https://youtu.be/x0ADOW1CsZY,NHEB - No Hay Excusas en Biología,116,5,4,4,4,5,5,4,3,4,4,4,4,4,5,5,4,5,5,5,4,5,5,4,5,5,5,5,
Ácidos nucleicos I,2712,145,4,0,PT8M27S,2018-06-07T12:00:04Z,https://youtu.be/ZnVXZCo9rh4,Dá Uma Força,98500,4,4,4,4,4,4,3,3,4,4,4,3,3,4,5,5,4,4,4,4,4,4,4,4,4,4,4,
Data da consulta => 2022-10-13 13:15:23.727082 UTC TIME - AAAA-MM-DD / Planilha gerada dados obtidos robotizadamente usando a Youtube API e Python / Codigo disponivel em https://github.com/Ruaneri-Portela/Py-Youtube-To-CSV / Codigo criado por Ruaneri Portela 
 Classificado por Marcelo Dias Rodrigues
